Target_ID,Task_ID,Task_Type,Radar_Type,Priority,Request_Time,Deadline,Duration,Init_Power,Max_Power,Max_Delay,Stage_Count
27,1,Search,Radar1,1,1.8815898328767133,30.799980749566455,3.7703284260453156,22.139513853927188,34.37809972885954,11.498522442869795,1
1,2,Search,Radar3,1,1.2963796603218798,35.97197133086979,2.7787919192781585,22.05222203333701,53.17923507375284,7.4803114532269825,1
26,3,Search,Radar3,1,1.4727208769551563,36.53895535044457,3.8633913599821,23.17660372604105,40.782049513578556,10.051601284792685,1
44,4,Search,Radar1,1,0.754273665059324,31.324192229605593,2.916748170204679,17.09969827478539,42.20805553756091,8.189472721037966,1
32,5,Search,Radar3,1,0.5931895287469697,44.7608307655457,3.6185681957814166,21.31898346044482,50.18823783311067,11.853586362937415,1
28,6,Search,Radar3,1,1.9553800093993559,44.700423834278574,3.3107166539859545,18.178294564719458,34.94598153824118,10.0855997619951,1
44,7,Detection,Radar1,2,2.717370558488462,17.90137095253549,4.831275545581171,39.24823995613697,81.01255013932379,9.33998286903807,1
9,8,Search,Radar3,1,1.4148019516095522,28.29931709399937,3.2165070914045137,20.149016819717097,49.37771835551214,7.72950531960586,1
4,9,Search,Radar1,1,1.0477687140392076,21.284826882973384,2.767895724082412,23.576989066054143,36.08048248218132,8.338299100366411,1
36,10,Search,Radar3,1,1.3748206682923454,40.89775334943402,2.9663584727411196,20.853859972586715,47.165658436087284,10.120790314276329,1
40,11,Search,Radar1,1,1.7044992481716676,41.6164437146195,3.482365738691134,20.51371251099642,42.34486768857165,11.72465817344185,1
34,12,Search,Radar1,1,0.835449815854353,50.47666086745139,3.8123313831128467,18.792790638085485,37.812716496316284,10.815293510367185,1
33,13,Search,Radar1,1,0.6109791473277548,36.047356559453405,2.276597705005396,23.9604982778529,41.237997677249446,4.789751055582816,1
34,14,Detection,Radar3,2,2.1286870434112104,41.63819313223268,5.906534519414381,41.01316614426334,92.05748125572187,9.335908146853003,1
30,15,Search,Radar1,1,1.987174773569317,26.08133696353335,2.9492847981936503,23.97474071157285,44.43004076936781,9.73577543795261,1
22,16,Search,Radar3,1,1.0450581894324438,21.627036100236545,3.117354119433366,18.330917019765003,38.42616710862177,8.886390577257478,1
4,17,Detection,Radar2,2,2.184802071477364,40.13047351235082,5.833666819126875,45.60169784866635,90.21436413359193,7.638459330629095,1
24,18,Search,Radar3,1,0.547636241366293,43.633721948518925,3.049679386830897,18.331768027209293,37.89749612055892,11.54592365673459,1
27,19,Detection,Radar3,2,3.712303453026504,34.23402123138581,3.7287328691110355,33.57887110551886,55.24365824382852,7.341625842649694,1
